,tune,chords
20,6,"[('1', 'Bm7b5'), ('1', 'E7b9'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Fmaj7'), ('2', 'Fmaj7/E'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7b9'), ('2', 'Fdim7/C'), ('2', 'Cmaj7'), ('2', 'Bm7'), ('2', 'E7b9')]"
21,6,"[('2', 'Am7'), ('2', 'E7b13'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'D7b13'), ('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7b5'), ('2', 'D7b9'), ('2', 'Gm7b5'), ('2', 'C7b9'), ('2', 'Fmaj7'), ('2', 'Fmaj7/E'), ('2', 'Dm7'), ('2', 'Dm7/C')]"
22,6,"[('1', 'Bm7b5'), ('1', 'E7b9'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Fmaj7'), ('2', 'Fmaj7/E'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7b9'), ('2', 'Fdim7/C'), ('2', 'Cmaj7'), ('1', 'C7/Bb')]"
23,6,"[('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Gbm7b5'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'Am7/G'), ('1', 'Fmaj7'), ('2', 'Em7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'G13b9'), ('1', 'C6'), ('2', 'Gm7'), ('2', 'C7')]"
24,7,"[('2', 'Gbm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'B7'), ('1', 'Emaj7'), ('2', 'Em7'), ('2', 'Gbm7'), ('2', 'Bbmaj7'), ('2', 'Db7'), ('2', 'Gbmaj7'), ('2', 'A7'), ('1', 'Dmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'Gbm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'B7')]"
25,7,[]
26,7,"[('2', 'Gbm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'Cmaj7'), ('2', 'Abmaj7'), ('2', 'Emaj7'), ('2', 'Cmaj7'), ('2', 'Abmaj7'), ('1', 'Emaj7')]"
27,8,"[('2', 'Cmaj7'), ('2', 'Abm7sus'), ('2', 'Cmaj7'), ('2', 'Abm7sus'), ('4', 'Dbm7'), ('4', 'Gbm7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7')]"
28,8,"[('2', 'Cmaj7'), ('2', 'Abm7sus'), ('2', 'Cmaj7'), ('2', 'Abm7sus'), ('4', 'Dbm7'), ('4', 'Gbm7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7')]"
29,8,"[('2', 'Am7'), ('2', 'D7'), ('1', 'Gmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Fmaj7'), ('2', 'Bm7')]"
