,tune,chords,notes
16,16,"[('1', 'Cmaj7'), ('1', 'A7'), ('1', 'Ebm7'), ('1', 'Ebm7'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('1', 'Cmaj7'), ('1', 'A7'), ('1', 'Ebm7'), ('1', 'Ebm7'), ('1', 'Dm7'), ('1', 'Abm7')]","[65.0, 67.0, 65.0, 68.0, 67.0, 71.0, 69.0, 69.0, 69.0, 72.0, 69.0, 67.0, 70.0, 60.0, 58.0, 68.0, 63.0]"
17,17,"[('1', 'Cmaj7'), ('1', 'A7'), ('1', 'Ebm7'), ('1', 'Ebm7'), ('1', 'Bm7b5'), ('1', 'E7b9'), ('1', 'Am'), ('1', 'E7b9'), ('1', 'Am'), ('1', 'E7b9'), ('1', 'Am'), ('1', 'Ebdim7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Abm7')]","[64.0, 65.0, 58.0, 60.0, 61.0, 63.0, 64.0, 58.0, 57.0, 68.0, 66.0, 63.0, 59.0, 56.0, 57.0, 61.0, 65.0, 63.0, 65.0]"
18,18,"[('2', 'CmM7'), ('2', 'CmM7'), ('2', 'Bbm6'), ('2', 'Em7'), ('1', 'Abmaj7'), ('1', 'Dbmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7'), ('1', 'Abmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]","[71.0, 73.0, 78.0, 79.0, 80.0, 79.0, 78.0, 77.0, 76.0, 75.0, 78.0, 77.0, 76.0, 75.0, 72.0, 70.0, 69.0, 67.0, 64.0, 67.0, 65.0]"
19,19,"[('2', 'CmM7'), ('2', 'CmM7'), ('2', 'Bbm6'), ('2', 'Em7'), ('1', 'Abmaj7'), ('1', 'Dbmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]","[58.0, 60.0, 58.0, 69.0, 70.0, 71.0, 69.0, 64.0, 67.0, 74.0, 77.0, 75.0, 69.0, 74.0, 72.0, 71.0, 74.0, 78.0, 81.0, 78.0, 77.0, 75.0, 74.0]"
20,20,"[('1', 'Bm7b5'), ('1', 'E7b9'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Fmaj7'), ('2', 'Fmaj7/E'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7b9'), ('2', 'Fdim7/C'), ('2', 'Cmaj7'), ('2', 'Bm7'), ('2', 'E7b9')]","[64.0, 67.0, 72.0, 69.0, 69.0, 65.0, 65.0, 65.0, 60.0, 63.0, 66.0, 68.0, 61.0]"
21,21,"[('2', 'Am7'), ('2', 'E7b13'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'D7b13'), ('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7b5'), ('2', 'D7b9'), ('2', 'Gm7b5'), ('2', 'C7b9'), ('2', 'Fmaj7'), ('2', 'Fmaj7/E'), ('2', 'Dm7'), ('2', 'Dm7/C')]","[67.0, 68.0, 69.0, 65.0, 62.0, 65.0, 67.0, 65.0, 64.0, 63.0, 64.0, 65.0, 63.0, 62.0, 60.0, 63.0]"
22,22,"[('1', 'Bm7b5'), ('1', 'E7b9'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Fmaj7'), ('2', 'Fmaj7/E'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7b9'), ('2', 'Fdim7/C'), ('2', 'Cmaj7'), ('1', 'C7/Bb')]","[70.0, 68.0, 62.0, 61.0, 60.0, 63.0, 63.0, 63.0, 63.0, 62.0, 63.0, 65.0]"
23,23,"[('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Gbm7b5'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'Am7/G'), ('1', 'Fmaj7'), ('2', 'Em7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'G13b9'), ('1', 'C6'), ('2', 'Gm7'), ('2', 'C7')]","[70.0, 68.0, 63.0, 60.0, 77.0, 81.0, 79.0, 78.0, 75.0, 73.0, 81.0, 84.0, 86.0, 79.0]"
24,24,"[('2', 'Gbm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'B7'), ('1', 'Emaj7'), ('2', 'Em7'), ('2', 'Gbm7'), ('2', 'Bbmaj7'), ('2', 'Db7'), ('2', 'Gbmaj7'), ('2', 'A7'), ('1', 'Dmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'Gbm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'B7')]","[60.0, 55.0, 50.0, 55.0, 52.0, 50.0, 51.0, 46.0, 55.0, 56.0, 55.0, 54.0, 53.0, 57.0, 58.0, 60.0, 63.0, 65.0, 66.0, 65.0, 63.0, 62.0, 63.0, 65.0, 70.0]"
25,25,[],[]
26,26,"[('2', 'Gbm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'Cmaj7'), ('2', 'Abmaj7'), ('2', 'Emaj7'), ('2', 'Cmaj7'), ('2', 'Abmaj7'), ('1', 'Emaj7')]","[64.0, 66.0, 63.0, 59.0, 55.0, 60.0, 57.0, 54.0, 55.0, 57.0, 57.0, 59.0, 58.0, 56.0, 54.0]"
27,27,"[('2', 'Cmaj7'), ('2', 'Abm7sus'), ('2', 'Cmaj7'), ('2', 'Abm7sus'), ('4', 'Dbm7'), ('4', 'Gbm7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7')]","[64.0, 67.0, 70.0, 74.0, 73.0, 72.0, 68.0, 70.0, 68.0, 63.0, 63.0, 67.0, 67.0, 67.0, 64.0, 62.0]"
28,28,"[('2', 'Cmaj7'), ('2', 'Abm7sus'), ('2', 'Cmaj7'), ('2', 'Abm7sus'), ('4', 'Dbm7'), ('4', 'Gbm7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7')]","[80.0, 81.0, 84.0, 86.0, 82.0, 85.0, 84.0, 85.0, 84.0, 83.0, 75.0, 83.0, 78.0, 76.0, 75.0, 73.0]"
