,tune,chords,notes
1033,1033,"[('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7')]","[65.0, 69.0, 70.0, 72.0, 74.0, 75.0, 74.0, 73.0, 74.0, 70.0, 67.0, 72.0, 72.0, 65.0, 64.0]"
1034,1034,"[('2', 'Em7'), ('2', 'A7'), ('2', 'Dmaj7'), ('2', 'Gmaj7'), ('2', 'Dbm7b5'), ('2', 'Gb7b9'), ('2', 'Bm7'), ('2', 'E7'), ('2', 'A7sus'), ('2', 'A7'), ('2', 'Gbm7'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Dmaj7')]","[65.0, 63.0, 61.0, 63.0, 61.0, 58.0, 54.0, 58.0, 52.0, 55.0, 59.0, 60.0, 62.0, 64.0, 65.0]"
1035,1035,"[('1', 'Ebmaj7'), ('1', 'Ebmaj7'), ('1', 'Bbm7'), ('1', 'Em7'), ('1', 'Gmaj7'), ('1', 'Gmaj7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 62.0, 64.0, 67.0, 65.0, 64.0, 55.0, 58.0, 60.0, 61.0]"
1036,1036,"[('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6')]","[65.0, 69.0, 67.0, 65.0, 66.0, 51.0, 53.0, 61.0, 62.0, 65.0, 67.0, 64.0, 65.0, 58.0, 61.0]"
1037,1037,"[('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'E7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('1', 'G7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 68.0, 67.0, 65.0, 64.0, 67.0, 69.0, 67.0, 62.0, 64.0]"
1038,1038,"[('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'E7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('1', 'G7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 63.0, 60.0, 55.0, 53.0, 52.0, 52.0, 60.0, 52.0, 55.0, 54.0]"
1039,1039,"[('1', 'E7'), ('1', 'E7'), ('1', 'E7'), ('1', 'E7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('2', 'Dm7'), ('2', 'Dm7')]","[65.0, 60.0, 66.0, 63.0, 59.0, 60.0, 63.0, 65.0, 63.0]"
1040,1040,"[('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'E7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('1', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 69.0, 69.0, 69.0, 69.0, 81.0, 80.0, 79.0, 77.0, 79.0, 80.0, 79.0, 77.0, 77.0]"
1041,1041,"[('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7sus'), ('2', 'C6'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7'), ('2', 'Gm6/Bb'), ('2', 'A7')]","[65.0, 67.0, 68.0, 66.0, 64.0, 65.0, 56.0, 54.0, 53.0, 62.0, 58.0, 64.0]"
1042,1042,"[('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7sus'), ('2', 'C6'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7'), ('2', 'Gm6/Bb'), ('2', 'A7')]","[65.0, 65.0, 62.0, 63.0, 67.0, 66.0, 67.0, 69.0, 70.0, 68.0, 69.0, 65.0]"
1043,1043,"[('2', 'Gmaj7'), ('2', 'Adim7'), ('2', 'D7/A'), ('2', 'D7'), ('2', 'Gmaj7'), ('2', 'B7'), ('2', 'Em7'), ('2', 'G7/D'), ('2', 'C6'), ('2', 'B7'), ('2', 'Em7'), ('2', 'A9'), ('2', 'D6'), ('2', 'Adim7'), ('2', 'Dm7/G'), ('2', 'G7')]","[65.0, 67.0, 64.0, 60.0, 58.0, 60.0, 58.0, 59.0, 60.0, 62.0, 63.0, 65.0, 60.0, 57.0, 58.0, 57.0]"
1044,1044,"[('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7sus'), ('2', 'C6'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7'), ('2', 'Gm6/Bb'), ('2', 'A7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 62.0, 58.0, 55.0, 53.0, 56.0, 55.0, 58.0, 60.0, 63.0, 67.0, 62.0, 58.0, 65.0, 62.0, 60.0, 51.0, 57.0, 62.0]"
1045,1045,[],[]
1046,1046,"[('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7sus'), ('2', 'C6'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7'), ('2', 'Gm6/Bb'), ('2', 'A7')]","[65.0, 69.0, 72.0, 72.0, 72.0, 72.0, 69.0, 70.0, 74.0, 81.0, 78.0, 74.0]"
1047,1047,"[('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7sus'), ('2', 'C6'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7'), ('2', 'Gm6/Bb'), ('2', 'A7')]","[65.0, 72.0, 67.0, 64.0, 67.0, 71.0, 73.0, 75.0, 77.0, 77.0, 79.0, 80.0]"
1048,1048,"[('2', 'Gmaj7'), ('2', 'Adim7'), ('2', 'D7/A'), ('2', 'D7'), ('2', 'Gmaj7'), ('2', 'B7'), ('2', 'Em7'), ('2', 'G7/D'), ('2', 'C6'), ('2', 'B7'), ('2', 'Em7'), ('2', 'A9'), ('2', 'D6'), ('2', 'Adim7'), ('2', 'Dm7/G'), ('2', 'G7')]","[65.0, 63.0, 60.0, 68.0, 70.0, 73.0, 79.0, 76.0, 77.0, 76.0, 77.0, 74.0, 69.0, 68.0, 70.0, 74.0]"
1049,1049,"[('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7sus'), ('2', 'C6'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7'), ('2', 'Gm6/Bb'), ('2', 'A7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 68.0, 72.0, 70.0, 62.0, 69.0, 62.0, 66.0, 62.0, 65.0, 64.0, 63.0, 68.0, 68.0, 72.0, 74.0, 75.0, 74.0]"
1050,1050,"[('1', 'C6'), ('1', 'Bb9'), ('1', 'C6')]","[65.0, 60.0, 65.0]"
1051,1051,"[('1', 'Gsus'), ('1', 'Gsus'), ('1', 'Em/F'), ('1', 'Em/F')]","[65.0, 64.0, 61.0, 64.0]"
1052,1052,"[('1', 'Gsus'), ('1', 'Gsus'), ('1', 'Em/F'), ('1', 'Em/F')]","[65.0, 67.0, 65.0, 62.0]"
1053,1053,"[('4', 'Cm7'), ('4', 'Cm7'), ('2', 'Cm7'), ('4', 'Cm7'), ('4', 'Cm7'), ('2', 'Cm7'), ('2', 'Dbmaj7'), ('2', 'Dm9'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('2', 'Dbmaj7'), ('2', 'Dm9'), ('1', 'Cm7')]","[65.0, 72.0, 69.0, 67.0, 65.0, 64.0, 63.0, 60.0, 56.0, 58.0, 56.0, 53.0, 52.0, 51.0]"
1054,1054,"[('2', 'Abmaj7'), ('2', 'AmM7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Abmaj7'), ('2', 'Gm7'), ('2', 'Cm7'), ('1', 'Dbmaj7'), ('2', 'Cm7'), ('2', 'Am7'), ('2', 'D7#9'), ('2', 'G7#5')]","[65.0, 60.0, 63.0, 64.0, 68.0, 67.0, 66.0, 65.0, 57.0, 58.0, 63.0, 61.0]"
1055,1055,[],[]
1056,1056,"[('1', 'Gsus'), ('1', 'Gsus'), ('1', 'Em/F'), ('1', 'Em/F')]","[65.0, 67.0, 69.0, 65.0]"
1057,1057,"[('1', 'Gsus'), ('1', 'Gsus'), ('1', 'Em/F'), ('1', 'Em/F')]","[65.0, 63.0, 64.0, 65.0]"
1058,1058,"[('4', 'Cm7'), ('4', 'Cm7'), ('2', 'Cm7'), ('4', 'Cm7'), ('4', 'Cm7'), ('2', 'Cm7'), ('2', 'Dbmaj7'), ('2', 'Dm9'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('2', 'Dbmaj7'), ('2', 'Dm9'), ('1', 'Cm7')]","[65.0, 67.0, 70.0, 72.0, 73.0, 74.0, 72.0, 74.0, 67.0, 74.0, 67.0, 70.0, 69.0, 68.0]"
1059,1059,"[('2', 'Abmaj7'), ('2', 'AmM7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Abmaj7'), ('2', 'Gm7'), ('2', 'Cm7'), ('1', 'Dbmaj7'), ('2', 'Cm7'), ('2', 'Am7'), ('2', 'D7#9'), ('2', 'G7#5')]","[65.0, 63.0, 61.0, 58.0, 57.0, 60.0, 65.0, 67.0, 67.0, 67.0, 64.0, 62.0]"
1060,1060,"[('2', 'Cm7'), ('2', 'Abmaj9'), ('2', 'Dbmaj7'), ('2', 'G7#5')]","[65.0, 68.0, 71.0, 72.0]"
1061,1061,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'G7#9'), ('1', 'G7#9'), ('2', 'Bm'), ('2', 'Cm7'), ('1', 'Cm7')]","[65.0, 67.0, 65.0, 67.0, 60.0, 72.0, 69.0, 72.0, 67.0, 60.0, 63.0, 60.0, 55.0, 58.0, 53.0, 74.0, 72.0]"
1062,1062,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'G7#9'), ('1', 'G7#9'), ('2', 'Bm'), ('2', 'Cm7'), ('1', 'Cm7')]","[65.0, 64.0, 63.0, 60.0, 65.0, 70.0, 74.0, 69.0, 67.0, 64.0, 67.0, 65.0, 63.0, 61.0, 62.0, 63.0, 62.0]"
1063,1063,"[('1', 'Fm7'), ('1', 'Fm7'), ('1', 'G7b9'), ('1', 'G7b9'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Am7b5'), ('1', 'Am7b5'), ('1', 'D7sus'), ('1', 'D7'), ('1', 'Em7sus'), ('1', 'Em7'), ('1', 'Gbm7sus'), ('1', 'Gbm7'), ('1', 'G7sus'), ('1', 'G7')]","[65.0, 60.0, 63.0, 67.0, 72.0, 71.0, 70.0, 65.0, 60.0, 63.0, 58.0, 56.0, 64.0, 65.0, 68.0, 71.0]"
1064,1064,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'G7#9'), ('1', 'G7#9'), ('2', 'Bm'), ('2', 'Cm7'), ('1', 'Cm7')]","[65.0, 64.0, 65.0, 62.0, 59.0, 55.0, 59.0, 55.0, 57.0, 60.0, 62.0, 64.0, 67.0, 69.0, 65.0, 69.0, 67.0]"
1065,1065,"[('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'G7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'C7')]","[65.0, 67.0, 68.0, 69.0, 65.0, 64.0, 63.0, 61.0, 63.0, 62.0, 60.0, 65.0, 63.0, 62.0, 58.0, 55.0, 52.0]"
1066,1066,"[('2', 'Fmaj7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'C7'), ('2', 'Bm7b5'), ('2', 'E7'), ('1', 'Am7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'G7')]","[65.0, 67.0, 64.0, 62.0, 61.0, 64.0, 62.0, 64.0, 60.0, 64.0, 65.0, 62.0, 57.0, 65.0]"
1067,1067,"[('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Em7b5'), ('1', 'A7'), ('1', 'Dm7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]","[65.0, 64.0, 67.0, 65.0, 63.0, 62.0, 59.0, 60.0, 61.0, 63.0]"
1068,1068,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cdim7'), ('1', 'Cdim7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cm7'), ('1', 'Em7b5'), ('1', 'A7b9'), ('1', 'Dm7b5'), ('1', 'Dm7b5'), ('2', 'Dm7b5'), ('2', 'Am9'), ('1', 'G7b9')]","[65.0, 64.0, 63.0, 62.0, 60.0, 62.0, 64.0, 64.0, 65.0, 67.0, 70.0, 67.0, 68.0, 69.0, 74.0, 76.0, 77.0]"
1069,1069,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cdim7'), ('1', 'Cdim7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7b5'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cm7'), ('1', 'Em7'), ('1', 'Dm7'), ('1', 'C6'), ('2', 'Dm7b5'), ('2', 'G7sus'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 65.0, 62.0, 67.0, 70.0, 73.0, 72.0, 69.0, 70.0, 68.0, 67.0, 66.0, 69.0, 71.0, 73.0, 75.0, 69.0, 72.0]"
1070,1070,"[('1', 'Cmaj7#11'), ('1', 'Gb7#9'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'Am7'), ('2', 'D7'), ('2', 'D7#5')]","[65.0, 64.0, 68.0, 69.0, 65.0, 69.0, 75.0]"
1071,1071,"[('1', 'Cmaj7#11'), ('1', 'Gb7#9'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'Am7'), ('2', 'D7'), ('2', 'D7#5')]","[65.0, 69.0, 67.0, 68.0, 69.0, 70.0, 67.0]"
1072,1072,"[('1', 'Cmaj7'), ('1', 'Em7/B'), ('1', 'Am7'), ('1', 'Am7/G'), ('1', 'Gbm7b5'), ('1', 'B7b13'), ('2', 'Em7'), ('2', 'Ebm'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 60.0, 62.0, 63.0, 73.0, 72.0, 74.0, 72.0, 69.0, 65.0]"
1073,1073,"[('1', 'Cmaj7#11'), ('1', 'Gb7#9'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'Am7'), ('2', 'D7'), ('2', 'D7#5'), ('1', 'Gbm7#11'), ('1', 'E7')]","[65.0, 64.0, 63.0, 62.0, 60.0, 61.0, 60.0, 58.0, 56.0]"
1074,1074,"[('1', 'Am7'), ('2', 'Cm7'), ('2', 'Gbm7'), ('1', 'Gmaj7'), ('2', 'Bm7'), ('2', 'E7b9'), ('1', 'Em7#11'), ('2', 'Cmaj7/D'), ('2', 'D7b9'), ('1', 'G6'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 62.0, 65.0, 63.0, 65.0, 67.0, 64.0, 62.0, 60.0, 59.0, 60.0, 56.0]"
1075,1075,"[('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Cm7'), ('1', 'Cm6'), ('1', 'Cm7'), ('1', 'Cm6'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Em7b5'), ('1', 'A7b9'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]","[65.0, 69.0, 70.0, 69.0, 67.0, 63.0, 62.0, 59.0, 60.0, 62.0, 65.0, 67.0, 63.0, 62.0, 61.0, 62.0]"
1076,1076,"[('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7'), ('1', 'Cm7'), ('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7'), ('1', 'Ebmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Bm7'), ('1', 'E7'), ('1', 'Amaj7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 69.0, 70.0, 65.0, 68.0, 70.0, 68.0, 67.0, 64.0, 62.0, 61.0, 63.0, 65.0, 68.0, 58.0, 67.0]"
1077,1077,"[('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Cm7'), ('1', 'Cm6'), ('1', 'Cm7'), ('1', 'Cm6'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Em7b5'), ('1', 'A7b9'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]","[65.0, 63.0, 61.0, 61.0, 68.0, 64.0, 62.0, 61.0, 63.0, 66.0, 71.0, 69.0, 70.0, 71.0, 73.0, 71.0]"
1078,1078,"[('1', 'Cmaj7'), ('1', 'A7b9'), ('2', 'Dm7'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7#5'), ('1', 'Cmaj7'), ('2', 'Gbm7b5'), ('2', 'B7')]","[65.0, 69.0, 74.0, 69.0, 65.0, 64.0, 67.0, 67.0, 65.0, 63.0, 63.0, 63.0]"
1079,1079,"[('1', 'Em7'), ('1', 'Em7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('1', 'D7'), ('1', 'G7'), ('2', 'G7#5'), ('2', 'G7')]","[65.0, 63.0, 64.0, 62.0, 61.0, 60.0, 60.0, 60.0, 60.0]"
1080,1080,"[('1', 'Cmaj7'), ('1', 'A7b9'), ('2', 'Dm7'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7#5'), ('1', 'Cmaj7'), ('1', 'E7b9#5')]","[65.0, 63.0, 62.0, 60.0, 59.0, 57.0, 56.0, 57.0, 58.0, 58.0, 60.0]"
1081,1081,"[('1', 'Gbm6'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('1', 'Em7'), ('1', 'A7#5'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 62.0, 64.0, 65.0, 64.0, 63.0, 56.0, 60.0, 63.0, 66.0]"
1082,1082,"[('1', 'Dbm6'), ('1', 'Gbm7'), ('1', 'Dbm6'), ('1', 'Dbdim7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Dbm6'), ('1', 'Dbm6')]","[65.0, 67.0, 69.0, 72.0, 70.0, 65.0, 82.0, 79.0]"
1083,1083,"[('1', 'Dbm6'), ('1', 'Gbm7'), ('1', 'Dbm6'), ('1', 'Dbdim7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Dbm6'), ('1', 'Dbm6')]","[65.0, 65.0, 62.0, 55.0, 59.0, 62.0, 62.0, 68.0]"
1084,1084,"[('1', 'Gm7'), ('1', 'Dbm7'), ('1', 'Gbm6'), ('1', 'Gbm6'), ('1', 'D7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 72.0, 70.0, 68.0, 67.0, 65.0, 62.0, 60.0]"
1085,1085,"[('1', 'Dbm6'), ('1', 'Gbm7'), ('1', 'Dbm6'), ('1', 'Dbdim7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Dbm6'), ('1', 'Dbm6')]","[65.0, 67.0, 68.0, 70.0, 71.0, 74.0, 71.0, 75.0]"
1086,1086,"[('2', 'C6'), ('2', 'G7#5'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Fmaj7'), ('4', 'Em7b5'), ('4', 'A7'), ('2', 'Dm7'), ('2', 'Fm6'), ('2', 'Dm7'), ('2', 'Am7#11'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7#5')]","[65.0, 67.0, 64.0, 65.0, 70.0, 68.0, 67.0, 65.0, 64.0, 65.0, 61.0, 58.0, 54.0, 67.0, 68.0, 65.0, 75.0]"
1087,1087,"[('2', 'C6'), ('2', 'G7#5'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Fmaj7'), ('4', 'Em7b5'), ('4', 'A7'), ('2', 'Dm7'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6'), ('2', 'Gbm7b5'), ('2', 'B7b13')]","[65.0, 67.0, 65.0, 66.0, 65.0, 64.0, 63.0, 62.0, 65.0, 62.0, 65.0, 65.0, 74.0, 70.0, 73.0, 74.0]"
1088,1088,"[('2', 'Em7'), ('2', 'Dbm7b5'), ('2', 'Gbm7b5'), ('2', 'B7#9'), ('1', 'Em7'), ('2', 'Am7b5'), ('2', 'D7'), ('2', 'Gmaj7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'D7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 67.0, 63.0, 62.0, 60.0, 68.0, 69.0, 70.0, 67.0, 68.0, 70.0, 67.0, 69.0]"
1089,1089,"[('2', 'C6'), ('2', 'G7#5'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Fmaj7'), ('4', 'Em7b5'), ('4', 'A7'), ('2', 'Dm7'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 65.0, 70.0, 67.0, 69.0, 71.0, 73.0, 74.0, 72.0, 71.0, 68.0, 67.0, 66.0, 65.0, 60.0, 67.0, 66.0]"
1090,1090,"[('1', 'Dbm'), ('1', 'Gbm7'), ('1', 'Dbm'), ('2', 'Em7b5'), ('2', 'A7'), ('1', 'Dm7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Emb6'), ('2', 'Ebm7')]","[65.0, 62.0, 63.0, 61.0, 62.0, 64.0, 65.0, 62.0, 57.0, 55.0]"
1091,1091,"[('1', 'Dbm'), ('1', 'Gbm7'), ('1', 'Dbm'), ('2', 'Em7b5'), ('2', 'A7'), ('1', 'Dm7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Emb6'), ('2', 'Ebm7')]","[65.0, 64.0, 67.0, 70.0, 67.0, 63.0, 60.0, 55.0, 54.0, 55.0]"
1092,1092,"[('1', 'E7'), ('1', 'E7'), ('1', 'Am6'), ('1', 'Am6'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'Abm7')]","[65.0, 69.0, 70.0, 67.0, 63.0, 65.0, 67.0, 69.0]"
1093,1093,"[('1', 'Dbm'), ('2', 'Gbm7'), ('2', 'Gbdim7'), ('2', 'Dbm'), ('2', 'Gbm'), ('2', 'Em7b5'), ('2', 'A7'), ('2', 'Dm7b5'), ('2', 'A9'), ('2', 'Dm7'), ('2', 'Abm7b5'), ('1', 'Dbm'), ('1', 'Abm7')]","[65.0, 68.0, 69.0, 70.0, 68.0, 69.0, 70.0, 72.0, 74.0, 74.0, 72.0, 70.0, 65.0]"
1094,1094,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'D7'), ('1', 'D7')]","[65.0, 63.0, 62.0, 59.0, 62.0, 53.0, 57.0, 53.0, 62.0, 60.0, 58.0]"
1095,1095,"[('2', 'G7'), ('2', 'G7/F'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 64.0, 62.0, 66.0, 67.0, 65.0, 73.0, 74.0, 77.0, 81.0, 79.0]"
1096,1096,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'D7'), ('1', 'D7')]","[65.0, 62.0, 60.0, 59.0, 63.0, 62.0, 60.0, 58.0, 63.0, 64.0, 62.0]"
1097,1097,"[('2', 'G7'), ('2', 'G7/F'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'Dm7'), ('4', 'Bm7b5'), ('4', 'E7'), ('2', 'Am7'), ('2', 'Bb7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 68.0, 72.0, 69.0, 70.0, 66.0, 63.0, 59.0, 64.0, 66.0, 69.0, 72.0, 63.0, 65.0, 68.0, 70.0, 68.0]"
1098,1098,"[('1', 'Dbm6'), ('1', 'Dbm6'), ('1', 'Dbm6'), ('1', 'Am7'), ('2', 'Dbm6'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Dbm6')]","[65.0, 69.0, 65.0, 62.0, 60.0, 62.0, 60.0, 59.0, 62.0, 60.0, 59.0]"
1099,1099,"[('1', 'Dbm6'), ('1', 'Dbm6'), ('1', 'Dbm6'), ('1', 'Am7'), ('2', 'Dbm6'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Dbm6')]","[65.0, 63.0, 60.0, 57.0, 58.0, 60.0, 63.0, 64.0, 63.0, 62.0, 65.0]"
