,OTL,COM,ODT,meta,parts,chords
305,Teach Me Tonight,"DePaul, Gene",1953,"['OTL: Teach Me Tonight', 'COM: DePaul, Gene', 'ODT: 1953']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7', 'A-7'], ['G:min7', 'C7b13'], ['F:min7', 'B-7'], ['Gh7', 'C7b9'], ['F:min7'], ['B-7']]}, {'meta': ['*>N1\n'], 'bars': [['G:min7', 'C7b9'], ['F:min7', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6', 'A-7'], ['E-6', 'G:min7', 'G-:min7']]}, {'meta': ['*>B\n'], 'bars': [['F:min7', 'B-7'], ['G:min7', 'C7b9'], ['F:min7', 'B-7'], ['E-:maj7'], ['Ah7', 'D7b9'], ['G:min7', 'C7'], ['C:min7', 'F7'], ['F:min7', 'B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7', 'A-7'], ['G:min7', 'C7b13'], ['F:min7', 'B-7'], ['Gh7', 'C7b9'], ['F:min7'], ['B-7'], ['E-6', 'C:min7'], ['F:min7', 'B-7']]}]"
306,Pick Yourself Up,"Kern, Jerome",1936,"['OTL: Pick Yourself Up', 'COM: Kern, Jerome', 'ODT: 1936']","['A', 'B', 'C', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['G:min7', 'C7'], ['F:maj7', 'B-:maj7'], ['Eh7', 'A7b9'], ['D:min7', 'G7'], ['C7sus', 'C7'], ['A:min7', 'D7b9'], ['G:min7', 'C7'], ['F:maj7']]}, {'meta': ['*>B\n'], 'bars': [['A:min7', 'D7'], ['G:maj7', 'C:maj7'], ['F#h7', 'B7b9'], ['E:min7', 'A7'], ['D7sus', 'D7'], ['B:min7', 'E7b9'], ['A:min7', 'D7'], ['G:maj7']]}, {'meta': ['*>C\n'], 'bars': [['A-:maj7'], ['A-:maj7'], ['E-:min7'], ['A-7'], ['C:maj7'], ['C:maj7'], ['A:min7', 'D7'], ['G:min7', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['G:min7', 'C7'], ['F:maj7', 'B-:maj7'], ['Eh7', 'A7b9'], ['D:min7', 'G7'], ['C7sus', 'C7'], ['A:min7', 'D7b9'], ['G:min7', 'C7'], ['F6']]}]"
307,"Birth Of The Blues, The","Henderson, Ray",1926,"['OTL: Birth Of The Blues, The', 'COM: Henderson, Ray', 'ODT: 1926']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7', 'C#o7'], ['D:min7', 'G7'], ['C:maj7', 'E7'], ['F:maj7', 'F#o7'], ['G7'], ['D:min7', 'G7']]}, {'meta': ['*>N1\n'], 'bars': [['C6', 'E-o7'], ['D:min7', 'D-7']]}, {'meta': ['*>N2\n'], 'bars': [['C6', 'F7'], ['C6']]}, {'meta': ['*>B\n'], 'bars': [['E7'], ['E7'], ['E7'], ['E7'], ['A7'], ['A7'], ['D7'], ['D:min7', 'D-7']]}, {'meta': ['*>A2\n'], 'bars': [['C:maj7', 'C#o7'], ['D:min7', 'G7'], ['C:maj7', 'E7'], ['F:maj7', 'F#o7'], ['G7'], ['D:min7', 'G7'], ['C6', 'E-o7'], ['D:min7', 'G7']]}]"
308,Wouldn't It Be Loverly,"Loewe, Frederick",1956,"[""OTL: Wouldn't It Be Loverly"", 'COM: Loewe, Frederick', 'ODT: 1956']","['A', 'N1', 'A', 'N2', 'B', 'A2', 'ToCod', 'A', 'N1', 'A', 'N2', 'B', 'A2', 'Coda']","[{'meta': ['*>A\n'], 'bars': [['G6', 'E:min7'], ['A:min7', 'D7sus'], ['G6', 'E:min7'], ['A7', 'D7'], ['G6', 'D7/F#'], ['D:min6/F', 'E7']]}, {'meta': ['*>N1\n'], 'bars': [['G6/D', 'Do7'], ['A:min7/D', 'D7']]}, {'meta': ['*>N2\n'], 'bars': [['G6/D', 'D7'], ['G6']]}, {'meta': ['*>B\n'], 'bars': [['D:maj7', 'E-o7'], ['A7/E', 'A7'], ['D:maj7', 'F#7/C#'], ['B:min7', 'D7/A'], ['G6', 'F#7'], ['B:min7', 'E9'], ['A6', 'E-o7'], ['A:min7/D', 'D7']]}, {'meta': ['*>A2\n'], 'bars': [['G6', 'E:min7'], ['A:min7', 'D7sus'], ['G6', 'E:min7'], ['A7', 'D7'], ['G6', 'D7/F#'], ['D:min6/F', 'E7'], ['G6', 'E:min7'], ['A:min7', 'D7'], ['G6'], ['A:min7', 'D7']]}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>Coda\n'], 'bars': [['G6'], ['F9'], ['G6']]}]"
309,Jaco,"Metheny, Pat",1974,"['OTL: Jaco', 'COM: Metheny, Pat', 'ODT: 1974']","['Intro', 'Intro', 'A', 'B', 'ToCod', 'Intro', 'Intro', 'A', 'B', 'Coda']","[{'meta': ['*>Intro\n', '*M4/4\n', '*c:\n'], 'bars': []}, {'meta': ['*>Intro\n'], 'bars': [['Gsus'], ['Gsus'], ['E-/F'], ['E-/F']]}, {'meta': ['*>A\n'], 'bars': [['C:min7', 'C:min7(D-9)', 'C:min7'], ['C:min7', 'C:min7(D-9)', 'C:min7'], ['D-:maj7', 'D-9'], ['C:min7'], ['C:min7'], ['C:min7'], ['D-:maj7', 'D-9'], ['C:min7']]}, {'meta': ['*>B\n'], 'bars': [['A-:maj7', 'A-7(A-:maj7)'], ['G:min7', 'C7(G:min7)'], ['A-:maj7'], ['G:min7', 'C:min7(G:min7)'], ['D-:maj7'], ['! solos on AB (use alterrate charges)', 'C:min7', 'A-7'], ['D7#9', 'G7#5']]}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>Coda\n'], 'bars': [['C:min7', 'A-:maj9'], ['D-:maj7', 'G7#5']]}]"
310,Lone Jack 2,"Metheny, Pat",1978,"['OTL: Lone Jack 2', 'COM: Metheny, Pat', 'ODT: 1978']","['A', 'A', 'B', 'A']","[{'meta': ['*>A\n', '*M4/4\n', '*b-:\n'], 'bars': [['B-:min7'], ['B-:min7'], ['G-:maj7'], ['G-:maj7'], ['B-:min7'], ['B-:min7'], ['G-:maj7'], ['G-:maj7'], ['B-:min7'], ['B-:min7'], ['G-:maj7'], ['G-:maj7'], ['F7#9'], ['F7#9'], ['A-', 'B-:min7'], ['B-:min7', '! Fine']]}, {'meta': ['*>B\n'], 'bars': [['E-:min7'], ['E-:min7'], ['F7b9'], ['F7b9'], ['G-:maj7'], ['G-:maj7'], ['Gh7'], ['Gh7'], ['C7sus'], ['C7'], ['D-7sus'], ['D-7'], ['E-7sus'], ['E-7'], ['F7sus'], ['F7', '! D.C. al Fine', '! Solos on AABA']]}]"
311,"Saga Of Harrison Crabfeathers, The","Kuhn, Steve",1972,"['OTL: Saga Of Harrison Crabfeathers, The', 'COM: Kuhn, Steve', 'ODT: 1972']","['A', 'B', 'C', 'D']","[{'meta': ['*>A\n', '*M3/4\n', '*E-:\n'], 'bars': [['.E:min7'], ['.E:min7'], ['.E:min7'], ['.E:min7'], ['.C:maj7#11'], ['.C:maj7#11'], ['.C:maj7#11'], ['.C:maj7#11'], ['.A:min7'], ['.A:min7'], ['.A:min7'], ['.A:min7'], ['.E:min7'], ['.E:min7'], ['.E:min7'], ['.E:min7']]}, {'meta': ['*>B\n'], 'bars': [['.D:min7'], ['.D:min7'], ['.D:min7'], ['.D:min7'], ['.B-:maj7#11'], ['.B-:maj7#11'], ['.B-:maj7#11'], ['.B-:maj7#11'], ['.G:min7'], ['.G:min7'], ['.G:min7'], ['.G:min7'], ['.D:min7'], ['.D:min7'], ['.D:min7'], ['.D:min7']]}, {'meta': ['*>C\n'], 'bars': [['.A-:maj7#11'], ['.A-:maj7#11'], ['.A-:maj7#11'], ['.A-:maj7#11'], ['.A-:maj7#11'], ['.A-:maj7#11'], ['.A-:maj7#11'], ['.A-:maj7#11']]}, {'meta': ['*>D\n'], 'bars': [['.C:min7'], ['.C:min7'], ['.C:min7'], ['.C:min7'], ['.A-:maj7#11'], ['.A-:maj7#11'], ['.A-:maj7#11'], ['.A-:maj7#11'], ['.F:min7'], ['.F:min7'], ['.F:min7'], ['.F:min7'], ['.C:min7'], ['.C:min7'], ['.C:min7'], ['.C:min7']]}]"
312,Tell Me A Bedtime Story,"Hancock, Herbie",1969,"['OTL: Tell Me A Bedtime Story', 'COM: Hancock, Herbie', 'ODT: 1969']","['Intro', 'A', 'Sign', 'B', 'ToCod', 'Sign', 'B', 'Coda']","[{'meta': ['*>Intro\n', '*M4/4\n', '*C:\n'], 'bars': [['G:maj9'], ['G:maj9'], ['F#:min7'], ['F#:min7'], ['G:maj9'], ['G:maj9'], ['F#:min7'], ['M5/4', '.F#:min7', 'F#:min7']]}, {'meta': ['*>A\n', '*M4/4\n'], 'bars': [['G:maj9'], ['G:maj9'], ['F#:min7'], ['F#:min7'], ['G:maj9'], ['F#:min7'], ['C:maj9'], ['C:maj9'], ['B:maj9', 'G:maj9'], ['E:maj9', 'C:maj7#11'], ['B:maj9', 'G:maj9'], ['E:maj9', 'C:maj7#11']]}, {'meta': ['*>Sign\n'], 'bars': []}, {'meta': ['*>B\n'], 'bars': [['F#:min9'], ['B7#5'], ['E:maj9', 'E7#9'], ['E-7#9'], ['D:maj9'], ['D-7#9'], ['C:maj7#11'], ['C:maj7#11'], ['B:maj9', 'G:maj9'], ['E:maj9', 'C:maj7#11'], ['B:maj9', 'G:maj9'], ['E:maj9', 'C:maj7#11'], ['B7sus', 'B-7sus'], ['A7sus'], ['A-:min9'], ['E:min7'], ['M5/4', 'D-:min11'], ['E-:min11'], ['E:min11'], ['F#:min7'], ['M4/4', 'G:maj9#11'], ['G:maj9#11'], ['F#:min7'], ['F#:min7'], ['E:min11'], ['A13b9'], ['D:maj9'], ['C:maj7#11'], ['B:maj9', 'G:maj9'], ['E:maj9', 'C:maj7#11']]}, {'meta': ['*>ToCod\n'], 'bars': [['E:maj9', 'C:maj7#11', '! D.S. al Coda']]}, {'meta': ['*>Coda\n'], 'bars': [['E:maj7#11', 'C:maj9'], ['!   Loops vamp', 'B:maj9', 'G:maj9'], ['E:maj9', 'C:maj7#11'], ['B:maj7#11']]}]"
313,If There Is Someone Lovelier," Schwartz, Arthur",1934,"['OTL: If There Is Someone Lovelier', 'COM1: Dietz, Howard', 'COM2: Schwartz, Arthur', 'ODT: 1934']","['A', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7'], ['D:min7', 'G7'], ['C:maj7'], ['D:min7', 'G7'], ['A:min7', 'D7'], ['G7'], ['A:min7', 'D7'], ['G7'], ['C:maj7'], ['D:min7', 'G7'], ['C:maj7'], ['C7']]}, {'meta': ['*>B\n'], 'bars': [['F:maj7', 'G7'], ['C:maj7', 'A7'], ['D:min7', 'G7'], ['C:maj7', 'C7'], ['Bh7', 'E7'], ['A:min7'], ['A:min7', 'D7'], ['G7']]}, {'meta': ['*>C\n'], 'bars': [['C:maj7'], ['D:min7', 'G7'], ['Eh7'], ['A7'], ['D:min7'], ['D:min7', 'G7'], ['C:maj7'], ['C:maj7']]}]"
314,Dancing In The Dark,"Schwartz, Arthur",1931,"['OTL: Dancing In The Dark', 'COM: Schwartz, Arthur', 'ODT: 1931']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7'], ['C:maj7'], ['Co7'], ['Co7'], ['D:min7'], ['D:min7'], ['Dh7'], ['G7b9'], ['C:maj7'], ['C:min7'], ['Eh7'], ['A7b9'], ['Dh7'], ['Dh7'], ['Dh7', 'A-9'], ['G7b9']]}, {'meta': ['*>B\n'], 'bars': [['C:maj7'], ['C:maj7'], ['Co7'], ['Co7'], ['D:min7'], ['D:min7'], ['Dh7'], ['Dh7', 'G7b9'], ['C:maj7'], ['C:min7'], ['E-7'], ['D-7'], ['C6'], ['Dh7', 'G7sus'], ['C6'], ['D:min7', 'G7']]}]"
