,OTL,COM,ODT,meta,parts,chords
0,Leila,"Montgomery, Wes",1958,"['OTL: Leila', 'COM: Montgomery, Wes', 'ODT: 1958']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['G:min7', 'C7b9'], ['A:min7', 'D7b9'], ['G:min7', 'C7b9'], ['F:maj7'], ['B-:min7', 'E-7b9'], ['A-:maj7', 'D-:maj7'], ['G:min7', 'C7b9']]}, {'meta': ['*>N1\n'], 'bars': [['F:maj7', 'C7']]}, {'meta': ['*>N2\n'], 'bars': [['F:maj7']]}, {'meta': ['*>B\n'], 'bars': [['C:min7', 'F7'], ['B-:maj7'], ['C:min7', 'F7'], ['B-:maj7'], ['D:min7', 'G7'], ['C:maj7'], ['D:min7', 'G7'], ['G:min7', 'C7b9']]}, {'meta': ['*>A2\n'], 'bars': [['G:min7', 'C7b9'], ['A:min7', 'D7b9'], ['G:min7', 'C7b9'], ['F:maj7'], ['B-:min7', 'E-7b9'], ['A-:maj7', 'D-:maj7'], ['G:min7', 'C7b9'], ['F:maj7']]}]"
1,Criss Cross,"Monk, Thelonious",1963,"['OTL: Criss Cross', 'COM: Monk, Thelonious', 'ODT: 1963']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*g:\n'], 'bars': [['G:min6'], ['G:min6'], ['G-7#9'], ['B-13'], ['D:min7'], ['G7#11'], ['G-13'], ['G-13']]}, {'meta': ['*>B\n'], 'bars': [['C:min7'], ['F7'], ['B-:maj7'], ['C:min7'], ['F7'], ['B-:maj7']]}, {'meta': ['*>A2\n'], 'bars': [['G:min6'], ['G:min6'], ['G-7#9'], ['B-13'], ['D:min7'], ['G7#11'], ['G-13'], ['G-13']]}]"
2,Best Is Yet To Come 2,"Coleman, Cy",1959,"['OTL: Best Is Yet To Come 2', 'COM: Coleman, Cy', 'ODT: 1959']","['C', 'C2', 'D', 'A']","[{'meta': ['*>C\n', '*M4/4\n', '*A-:\n'], 'bars': [['F:min', 'D-7/F'], ['F:min6', 'D-7/F'], ['F:min', 'D-7/F'], ['F:min6', 'E-7'], ['A-7', 'D7#11'], ['D-7', 'E-7b9'], ['A-13'], ['G7', 'C7b9']]}, {'meta': ['*>C2\n'], 'bars': [['F:min6'], ['D-9'], ['F:min6'], ['D-9'], ['F:min6'], ['-9'], ['B-7sus'], ['B-7']]}, {'meta': ['*>D\n'], 'bars': [['E-:min7', 'F:min7'], ['G-6', 'A-7'], ['D-6', 'E-:min7'], ['Eo7', 'D-6/F'], ['E-:min7', 'F:min7'], ['G-6', 'A-7'], ['D-6'], ['E13']]}, {'meta': ['*>A\n'], 'bars': [['A:maj7', 'A7'], ['A6', 'A+', 'A'], ['F#7'], ['F#7'], ['B7'], ['E7'], ['A6;'], ['A6;']]}]"
3,Mimi,"Rodgers, Richard",1932,"['OTL: Mimi', 'COM: Rodgers, Richard', 'ODT: 1932']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:maj7'], ['G6'], ['A:min7'], ['D7'], ['G:maj7'], ['G6'], ['A:min11'], ['D7']]}, {'meta': ['*>A2\n'], 'bars': [['G:maj7'], ['G6'], ['A:min7'], ['D13'], ['G:maj7'], ['G6'], ['D:min7'], ['G7']]}, {'meta': ['*>B\n'], 'bars': [['C:maj7'], ['C6'], ['Co7'], ['Co7'], ['E:min11'], ['E:min11'], ['Eo7'], ['Eo7']]}, {'meta': ['*>A3\n'], 'bars': [['G:maj7'], ['G6'], ['A:min7'], ['D7'], ['G:maj7', 'E:min7'], ['A:min7', 'D9'], ['G6'], ['A:min7', 'D7']]}]"
4,Donna Lee,"Charlie, Parker",1947,"['OTL: Donna Lee', 'COM: Charlie, Parker', '(Miles Davis claims he wrote it)', 'ODT: 1947']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*A-:\n'], 'bars': [['A-:maj7'], ['F7'], ['B-7'], ['B-7'], ['B-:min7'], ['E-7'], ['A-:maj7'], ['E-:min7', 'A-7'], ['D-:maj7'], ['G-7'], ['A-:maj7'], ['F7'], ['B-7'], ['B-7'], ['B-:min7'], ['E-7']]}, {'meta': ['*>B\n'], 'bars': [['A-:maj7'], ['F7'], ['B-7'], ['B-7'], ['Gh7'], ['C7b9'], ['F:min'], ['C7b9'], ['F:min'], ['C7b9'], ['F:min'], ['Bo7'], ['C:min7', 'F7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['B-:min7', 'E-7']]}]"
5,Here's That Rainy Day,"van Heusen, Jimmy",1953,"[""OTL: Here's That Rainy Day"", 'COM: van Heusen, Jimmy', 'ODT: 1953']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:min(G:maj7)', 'G:min:maj7/F#'], ['F:min6(B-7)', 'B-7'], ['E-:maj7'], ['A-:maj7'], ['A:min7'], ['D7'], ['G:maj7'], ['D:min7', 'G7'], ['C:min7'], ['F7'], ['B-:maj7'], ['E-:maj7'], ['A:min7'], ['D7'], ['G:maj7', 'E:min7'], ['A:min7', 'D7']]}, {'meta': ['*>B\n'], 'bars': [['G:min(G:maj7)', 'G:min:maj7/F#'], ['F:min6(B-7)', 'B-7'], ['E-:maj7'], ['A-:maj7'], ['A:min7'], ['D7'], ['G:maj7'], ['D:min7', 'G7'], ['C:maj7'], ['A:min7', 'D7'], ['B:min7', 'E:min7'], ['A7'], ['A:min7'], ['D7'], ['G6', 'E:min7'], ['A:min7', 'D7']]}]"
6,Two For The Road,"Mancini, Henry",1967,"['OTL: Two For The Road', 'COM: Mancini, Henry', 'ODT: 1967']","['A', 'B', 'A2', 'D']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['F#h7'], ['B7b9'], ['E:min7', 'E:min7/D'], ['C:maj7', 'C:maj7/B'], ['A:min7'], ['D7sus', 'D7b9'], ['Co7/G', 'G:maj7'], ['F#:min7', 'B7b9']]}, {'meta': ['*>B\n'], 'bars': [['E:min7', 'B7b13'], ['E:min7', 'A7b9'], ['D:min7', 'A7b13'], ['D:min7', 'G7b9'], ['Eh7', 'A7b9'], ['Dh7', 'G7b9'], ['C:maj7', 'C:maj7/B'], ['A:min7', 'A:min7/G']]}, {'meta': ['*>A2\n'], 'bars': [['F#h7'], ['B7b9'], ['E:min7', 'E:min7/D'], ['C:maj7', 'C:maj7/B'], ['A:min7'], ['D7sus', 'D7b9'], ['Co7/G', 'G:maj7'], ['G7/F']]}, {'meta': ['*>D\n'], 'bars': [['E:min7', 'E:min7/D'], ['C#h7', 'C:min6'], ['B:min7', 'E:min7/D'], ['C:maj7'], ['B:min7', 'B-7'], ['A:min7', 'D13b9'], ['G6'], ['D:min7', 'G7']]}]"
7,"Gravy Waltz, The","Brown, Ray",1962,"['OTL: Gravy Waltz, The', 'COM: Brown, Ray', 'ODT: 1962']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M3/4\n', '*C:\n'], 'bars': [['.C'], ['.F'], ['.C/G', '.E7/G#'], ['.A:min7'], ['.F#:min7', '.F:min'], ['.Eh', '.A7'], ['.D7', '.G7'], ['.C']]}, {'meta': ['*>B\n'], 'bars': [['.F7'], ['.C7'], ['.F7'], ['.C7'], ['.F7'], ['.C7'], ['.D7'], ['.G7']]}, {'meta': ['*>A2\n'], 'bars': [['.C'], ['.F'], ['.C/G', '.E7/G#'], ['.A:min7'], ['.F#:min7', '.F:min'], ['.Eh', '.A7'], ['.D7', '.G7'], ['.C']]}]"
8,Countdown,"Coltrane, John",1959,"['OTL: Countdown', 'COM: Coltrane, John', 'ODT: 1959']","['A', 'ToCod', 'Coda']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['E:min7', 'F7'], ['B-:maj7', 'D-7'], ['G-:maj7', 'A7'], ['D:maj7'], ['D:min7', 'E-7'], ['A-:maj7', 'B7'], ['E:maj7', 'G7'], ['C:maj7'], ['C:min7', 'D-7'], ['G-:maj7', 'A7'], ['D:maj7', 'F7'], ['B-:maj7'], ['E:min7'], ['F7'], ['B-:maj7'], ['A7(E-7)']]}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>Coda\n'], 'bars': [['E:min7', 'F7'], ['B-:maj7', 'D-7'], ['G-:maj7', 'F7'], ['B-:maj7', 'A7'], ['! Rit.', 'D:maj7', 'B-:maj7'], ['G-:maj7', 'D:maj7'], ['B-:maj7', 'G-:maj7'], ['D:maj7;']]}]"
9,Secret Love,"Fain, Sammy",1953,"['OTL: Secret Love', 'COM: Fain, Sammy', 'ODT: 1953']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7', 'B-7sus'], ['E-:maj7', 'B-7sus'], ['E-7', 'A-7', 'G:min7', 'C7'], ['F:min7', 'B-7'], ['F:min7', 'B-7'], ['F:min7', 'B-7'], ['F:min7', 'B-7']]}, {'meta': ['*>N1\n'], 'bars': [['E-6', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6', 'Dh', 'G7']]}, {'meta': ['*>B\n'], 'bars': [['C:min7', 'F7'], ['B-:maj7'], ['B-:min7', 'E-7'], ['A-:maj7', 'D-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7', 'B-7sus'], ['Gh7', 'C7b9'], ['F:min7', 'B-7'], ['E-6', 'B-7']]}]"
10,Doxy,"Rollins, Sonny",1954,"['OTL: Doxy', 'COM: Rollins, Sonny', 'ODT: 1954']",['/'],[]
11,"Girl From Ipanema, The","Jobim, Antonio Carlos",1963,"['OTL: Girl From Ipanema, The', 'COM: Jobim, Antonio Carlos', 'ODT: 1963']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7'], ['F:maj7'], ['G7#11'], ['G7#11'], ['G:min7'], ['G-7#11']]}, {'meta': ['*>N1\n'], 'bars': [['F:maj7'], ['G-7']]}, {'meta': ['*>N2\n'], 'bars': [['F:maj7'], ['F:maj7']]}, {'meta': ['*>B\n'], 'bars': [['F#:maj7'], ['F#:maj7'], ['B7'], ['B7'], ['F#:min7'], ['F#:min7'], ['D7'], ['D7'], ['G:min7'], ['G:min7'], ['E-7'], ['E-7'], ['A:min7'], ['D7b9b5'], ['G:min7'], ['C7b9b5']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7'], ['F:maj7'], ['G7#11'], ['G7#11'], ['G:min7'], ['G-7#11'], ['F:maj7'], ['G-7']]}]"
12,You Won't Forget Me," Spielman, Fred",1953,"[""OTL: You Won't Forget Me"", 'COM1: Goell, Kermit', 'COM2: Spielman, Fred', 'ODT: 1953']","['A', 'B', 'C', 'D']","[{'meta': ['*>A\n', '*M4/4\n', '*b-:\n'], 'bars': [['A:min7b5'], ['D7'], ['G:min7'], ['C7'], ['C:min7'], ['F7b9'], ['B-:min7'], ['G7b9']]}, {'meta': ['*>B\n'], 'bars': [['A:min7b5'], ['D7'], ['G:min7'], ['G:min/F'], ['E:min7b5'], ['A7'], ['E-7'], ['D7']]}, {'meta': ['*>C\n'], 'bars': [['A:min7b5'], ['D7'], ['G:min7'], ['C7'], ['C:min7'], ['F7b9'], ['A-7sus'], ['G7']]}, {'meta': ['*>D\n'], 'bars': [['C:min7'], ['A-7sus'], ['D7b9'], ['G7'], ['G-7'], ['F7'], ['B-:min7'], ['C/B-', 'B/B-']]}]"
13,I Cover The Waterfront,"Green, Johnny",1933,"['OTL: I Cover The Waterfront', 'COM: Green, Johnny', 'ODT: 1933']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['E:min7', 'A7'], ['A:min7', 'D7'], ['G:maj7', 'C:maj7'], ['B:min7', 'B-o7'], ['A:min7'], ['D7sus', 'D7'], ['G:maj7'], ['Bh7', 'E7b9']]}, {'meta': ['*>B\n'], 'bars': [['A:min7', 'D7'], ['B:min7', 'E7'], ['A:min7', 'D7'], ['G:maj7'], ['B:min7', 'E7'], ['A:maj7', 'F#:min7'], ['B:min7', 'E7'], ['A:min7', 'D7']]}, {'meta': ['*>A2\n'], 'bars': [['E:min7', 'A7'], ['A:min7', 'D7'], ['G:maj7', 'C:maj7'], ['B:min7', 'B-o7'], ['A:min7'], ['D7sus', 'D7'], ['G:maj7'], ['Bh7', 'E7b9']]}]"
14,Soultrane,"Dameron, Tadd",1956,"['OTL: Soultrane', 'COM: Dameron, Tadd', 'ODT: 1956']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7'], ['Gh7', 'C7b9'], ['F:min7'], ['D-7'], ['A-:min', 'D-7', 'Do'], ['E-:maj7', 'G7', 'C7'], ['F7', 'B-7']]}, {'meta': ['*>N1\n'], 'bars': [['G:min', 'F#7', 'F:min', 'E7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6', 'Ah', 'D7']]}, {'meta': ['*>B\n'], 'bars': [['G:min7'], ['Ah7', 'D7b9'], ['G:min7'], ['C7', 'B7#9'], ['B-:maj7', 'G:min7'], ['Ch7', 'F7'], ['F:min7/B-', 'B-o7'], ['B7b5', 'B-7', 'E7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7'], ['Gh7', 'C7b9'], ['F:min7'], ['D-7'], ['A-:min7', 'D-7', 'Do'], ['E-:maj7', 'G7', 'C7'], ['F7', 'B-7'], ['E-6', 'F:min7/B-']]}]"
15,And On The Third Day,"Gibbs, Michael",1970,"['OTL: And On The Third Day', 'COM: Gibbs, Michael', 'ODT: 1970']","['Intro', 'A', 'ToCod', 'A', 'ToCod', 'Coda', 'Intro', 'A', 'ToCod', 'A', 'Coda']","[{'meta': ['*>Intro\n', '*M4/4\n', '*D:\n'], 'bars': [['D7'], ['D7'], ['D7'], ['D7']]}, {'meta': ['*>A\n'], 'bars': [['D7'], ['D7'], ['D7'], ['D7'], ['D7'], ['D7'], ['C:maj7'], ['C:maj7'], ['D7'], ['D7'], ['E7'], ['E7'], ['E7'], ['E7'], ['D:maj7'], ['D:maj7'], ['E7'], ['E7'], ['G-7'], ['G-7'], ['G-h7'], ['E7'], ['E7']]}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>Coda\n'], 'bars': [['D7'], ['D7'], ['D7', '! Fade']]}]"
16,"Kicker, The","Henderson, Joe",1963,"['OTL: Kicker, The', 'COM: Henderson, Joe', 'ODT: 1963']",['/'],[]
17,So Many Stars,"Mendez, Sergio",1966,"['OTL: So Many Stars', 'COM: Mendez, Sergio', 'ODT: 1966']","['A', 'N1', 'A', 'N2', 'C', 'D']","[{'meta': ['*>A\n', '*M4/4\n', '*D-:\n'], 'bars': [['A-13sus'], ['A-13b9'], ['A-:min7'], ['D-7b9', 'D-13'], ['G-:maj7'], ['B13'], ['F:min', 'D-/F'], ['F:min6', 'F:min7'], ['F:min:maj7', 'F:min7'], ['B-7#9#5'], ['A-13sus'], ['A-13b9']]}, {'meta': ['*>N1\n'], 'bars': [['D-6'], ['B-9sus', 'B-7#9#5']]}, {'meta': ['*>N2\n'], 'bars': [['D-6'], ['G-:maj7']]}, {'meta': ['*>C\n'], 'bars': [['G:min11'], ['G-13#11'], ['F:min11'], ['B-13b9'], ['E-:min11'], ['A-13b9'], ['F13', 'F7#5'], ['B-9sus', 'B-7#9#5']]}, {'meta': ['*>D\n'], 'bars': [['A-13sus'], ['A-13b9'], ['F:min9'], ['B-7b13'], ['E-:min9'], ['A-13b9'], ['D-6'], ['D-6']]}]"
18,VChucho,"D'Rivera, Paquito",1974,"['OTL: VChucho', ""COM: D'Rivera, Paquito"", 'ODT: 1974']","['Intro', 'Intro', 'A']","[{'meta': ['*>Intro\n', '*M4/4\n', '*d:\n'], 'bars': [['D:min'], ['Eh7', 'A7b9'], ['D:min'], ['Eh7', 'A7b9']]}, {'meta': ['*>A\n'], 'bars': [['D:min'], ['Eh7', 'A7b9'], ['D:min'], ['D7#9'], ['G:min', 'G:min7/F'], ['Eh7', 'A7b9'], ['D:min', 'D-:min'], ['C:min7', 'F7'], ['B-7'], ['Eh7', 'A7b9'], ['D:min'], ['A7#9']]}]"
19,Once In A While,"Edwards, Michael",1937,"['OTL: Once In A While', 'COM: Edwards, Michael', 'ODT: 1937']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7', 'A-13'], ['E-:maj7'], ['G:min7', 'D7#5'], ['G:min7', 'C7'], ['F:min7', 'C7'], ['F:min7', 'B-7'], ['G:min7', 'C7'], ['F:min7', 'B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7', 'A-13'], ['E-:maj7'], ['G:min7', 'D7#5'], ['G:min7', 'C7'], ['F:min7', 'C7'], ['F:min7', 'B-7'], ['E-6', 'A-:min7'], ['E-6', 'A:min7', 'D7']]}, {'meta': ['*>B\n'], 'bars': [['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['B:min7', 'B-o7'], ['A:min7', 'D7'], ['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['G6', 'C7b9'], ['F:min7', 'B-7']]}, {'meta': ['*>A3\n'], 'bars': [['E-:maj7', 'A-13'], ['E-:maj7'], ['G:min7', 'D7#5'], ['G:min7', 'C7'], ['F:min7', 'C7'], ['F:min7', 'B-7'], ['E-6', 'C:min7'], ['F:min7', 'B-7']]}]"
20,Sugar,"Turrentine, Stanley",1971,"['OTL: Sugar', 'COM: Turrentine, Stanley', 'ODT: 1971']",['/'],[]
21,Cousin Mary,"Coltrane, John",1959,"['OTL: Cousin Mary', 'COM: Coltrane, John', 'ODT: 1959']",['/'],[]
22,"Meaning Of The Blues, The"," Troup, Bobby",1957,"['OTL: Meaning Of The Blues, The', 'COM1: Worth, Leah', 'COM2: Troup, Bobby', 'ODT: 1957']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*d:\n'], 'bars': [['D:min', 'D:minb6'], ['D:min6', 'D:min7'], ['G:min7', 'G:min7/F'], ['Eh7', 'A7b9'], ['D:min', 'D:min:maj7'], ['D:min7', 'D:min6'], ['G:min7'], ['B-:min6', 'C7']]}, {'meta': ['*>B\n'], 'bars': [['F:maj7', 'D:min7'], ['G:min7', 'C7'], ['F:maj7'], ['Eh7', 'A7b9'], ['D:min', 'D:minb6'], ['D:min6', 'D:min7'], ['G:min7', 'B-7'], ['A7b9']]}, {'meta': ['*>A2\n'], 'bars': [['D:min', 'D:minb6'], ['D:min6', 'D:min7'], ['G:min7', 'G:min7/F'], ['Eh7', 'A7b9'], ['D:min', 'D:min:maj7'], ['D:min7', 'D:min6'], ['G:min7'], ['B-:min6', 'C7']]}, {'meta': ['*>C\n'], 'bars': [['C:min7'], ['F7sus', 'F7'], ['B-:maj7'], ['B-:min6', 'E-7'], ['D:min', 'D:minb6'], ['D:min6', 'D:min7'], ['G:min7', 'B-7', 'A7'], ['D:min']]}]"
23,Impressions,"Coltrane, John",1963,"['OTL: Impressions', 'COM: Coltrane, John', 'ODT: 1963']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*d:\n'], 'bars': [['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11']]}, {'meta': ['*>A2\n'], 'bars': [['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11']]}, {'meta': ['*>B\n'], 'bars': [['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11']]}, {'meta': ['*>A3\n'], 'bars': [['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11']]}]"
24,Minor Strain,"Timmons, Bobby",1960,"['OTL: Minor Strain', 'COM: Timmons, Bobby', 'ODT: 1960']","['A', 'A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11']]}, {'meta': ['*>B\n'], 'bars': [['G:min7'], ['G:min7'], ['B-:min7'], ['E-7'], ['A:min7'], ['A:min7', 'D7'], ['G/D', 'A:min7/D'], ['B-o/D', 'B:min7/D']]}]"
25,They All Laughed,"Gershwin, George",1936,"['OTL: They All Laughed', 'COM: Gershwin, George', 'ODT: 1936']","['A', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['A:min7', 'D7'], ['G:maj7', 'D7sus'], ['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['G:maj7'], ['A:min7', 'D7'], ['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['G7', 'F#7#5'], ['B:min7', 'E9'], ['A9'], ['E:min7', 'A7'], ['A:min7'], ['D7', 'D7#5']]}, {'meta': ['*>B\n'], 'bars': [['G7'], ['D:min7', 'G7'], ['Bh7'], ['E7#5'], ['A9'], ['E:min7', 'A9'], ['A:min7'], ['D7', 'D7#5']]}, {'meta': ['*>C\n'], 'bars': [['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['F9', 'E7', 'E7/D'], ['C#h7', 'C:min6'], ['B:min7', 'E7'], ['A:min7', 'D7'], ['G:maj7', 'E:min7'], ['A:min7', 'D7']]}]"
26,Adam's Apple,"Shorter, Wayne",1966,"[""OTL: Adam's Apple"", 'COM: Shorter, Wayne', 'ODT: 1966']",['/'],[]
27,Basin Street Blues,"Williams, Spencer",1926,"['OTL: Basin Street Blues', 'COM: Williams, Spencer', 'ODT: 1926']","['Intro', 'Intro', 'A']","[{'meta': ['*>Intro\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-', 'C:min7', 'C#o', 'B-/D'], ['B-', 'C:min7', 'C#o', 'B-/D'], ['B-/D', 'D-:min7', 'C:min7', 'F7'], ['B-/D', 'D-:min7', 'C:min7', 'F7'], ['B-', 'B-7/A-'], ['E-6/G', 'E-:min6/G-'], ['B-/F'], ['F7']]}, {'meta': ['*>A\n'], 'bars': [['B-:maj7'], ['D7'], ['G7'], ['G7'], ['C7'], ['F7'], ['B-:maj7/D', 'C#o7'], ['C:min7', 'F7'], ['B-:maj7'], ['D7'], ['G7'], ['G7'], ['C7'], ['F7'], ['B-:maj7', 'E-6'], ['B-/F', 'F7']]}]"
28,What Are You Doing The Rest Of Your Life?,"Legrand, Michel",1969,"['OTL: What Are You Doing The Rest Of Your Life?', 'COM: Legrand, Michel', 'ODT: 1969']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*a:\n'], 'bars': [['A:min', 'A:min/G#'], ['A:min7/G', 'F#h7'], ['F:maj7'], ['F:maj7']]}, {'meta': ['*>N1\n'], 'bars': [['D:min7'], ['D:min7/C'], ['B:min7'], ['E7b13']]}, {'meta': ['*>N2\n'], 'bars': [['D:min7'], ['Bh7', 'E7b9'], ['A:maj7'], ['A:maj7']]}, {'meta': ['*>B\n'], 'bars': [['B:min7', 'E7'], ['A:maj7', 'F#:min7'], ['B:min7', 'E7'], ['A:maj7'], ['A-:min7', 'D-7'], ['G-:maj7'], ['G:min7', 'C7'], ['F:maj7', 'E7b13']]}, {'meta': ['*>A2\n'], 'bars': [['A:min', 'A:min/G#'], ['A:min7/G', 'F#h7'], ['F:maj7'], ['F:maj7'], ['D:min7'], ['D:min7/C'], ['B:min7'], ['E7b13'], ['F:maj7'], ['Bh7', 'E7'], ['F:maj7'], ['F7#11'], ['A:min7/E'], ['Bh7', 'E7b13'], ['A:min'], ['Bh7', 'E7b9']]}]"
29,God Bless The Child," Herzog, Arthur",1941,"['OTL: God Bless The Child', 'COM1: Holiday, Billie', 'COM2: Herzog, Arthur', 'ODT: 1941']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7', 'E-7', 'A-6'], ['E-:maj7', 'E-7', 'A-6'], ['B-:min7', 'E-7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['A-:min6'], ['G:min7', 'C7b9'], ['F:min7', 'B-7']]}, {'meta': ['*>N1\n'], 'bars': [['E-6'], ['F:min7', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6'], ['Dh7', 'G7b9']]}, {'meta': ['*>B\n'], 'bars': [['C:min', 'C:min:maj7'], ['C:min7', 'C:min6'], ['G:min7'], ['Dh7', 'G7b9'], ['C:min', 'C:min:maj7'], ['C:min7', 'C:min6'], ['G:min7', 'C7'], ['F:min7', 'B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7', 'E-7', 'A-6'], ['E-:maj7', 'E-7', 'A-6'], ['B-:min7', 'E-7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['A-:min6'], ['G:min7', 'C7b9'], ['F:min7', 'B-7'], ['E-6'], ['F:min7', 'B-7']]}]"
30,"Night We Called It A Day, The","Dennis, Matt",1944,"['OTL: Night We Called It A Day, The', 'COM: Dennis, Matt', 'ODT: 1944']","['A', 'N1', 'A', 'N2', 'B', 'C']","[{'meta': ['*>A\n'], 'bars': [['Ah7', 'D7b9'], ['G:maj7'], ['F#h7', 'B7b9'], ['E:min7', 'E:min7/D'], ['C#7(E:min7)', 'C7(A7)'], ['B:min7', 'B-7'], ['A:min7', 'A-7#11']]}, {'meta': ['*>N1\n'], 'bars': [['G:maj7']]}, {'meta': ['*>N2\n'], 'bars': [['G:maj7', 'D:min7', 'G7']]}, {'meta': ['*>B\n'], 'bars': [['C:maj7'], ['Co7', 'C:maj7'], ['C:min6', 'B7#9'], ['E:min7'], ['F#h7', 'B7b13'], ['E:min7'], ['Eh7', 'A7b9'], ['A:min7', 'D7']]}, {'meta': ['*>C\n'], 'bars': [['Ah7', 'D7b9'], ['G:maj7'], ['F#h7', 'B7b9'], ['E:min7'], ['E:min7', 'E:min7/D'], ['C#h7', 'C:min7'], ['B:min7', 'B-7', 'A:min7', 'A-7'], ['G:maj7']]}]"
31,I Will Wait For You,"Legrand, Michel",1964,"['OTL: I Will Wait For You', 'COM: Legrand, Michel', 'ODT: 1964']","['A', 'N1', 'A', 'N2', 'B', 'A', 'N1', 'A', 'N2']","[{'meta': ['*>A\n', '*M4/4\n', '*d:\n'], 'bars': [['D:min7'], ['D:min7', 'D7b9'], ['G:min7'], ['G:min7', 'D-7'], ['C7sus'], ['C7', 'C7b9'], ['B-/F', 'F:maj7'], ['Eh7', 'A7b9'], ['D:min7'], ['D:min7', 'D7b9'], ['G:min7'], ['G:min7', 'Eh7'], ['D:min/A', 'Bh7'], ['Eh7', 'A7b9']]}, {'meta': ['*>N1\n'], 'bars': [['D:min'], ['Eh7', 'A7b9']]}, {'meta': ['*>N2\n'], 'bars': [['D:min'], ['D:min', '! Fine']]}, {'meta': ['*>B\n'], 'bars': [['G:min7'], ['G:min7'], ['D:min7'], ['D:min7'], ['Eh7'], ['A7b9'], ['Bh7'], ['E7b9'], ['A7b9sus'], ['A7b9', '! D.C. al 2nd ending']]}]"
