,tune,chords
10,10,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'A7b9'), ('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'Am/G'), ('1', 'Gbm7b5'), ('1', 'B7'), ('1', 'Gbm7'), ('1', 'E7'), ('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7b9'), ('1', 'Bm7sus'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'Bm7sus'), ('1', 'E7b9'), ('1', 'A7'), ('1', 'Am7'), ('1', 'G7'), ('1', 'Cm7'), ('2', 'Dbm/D'), ('2', 'Dbm/Db')]"
11,11,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dmaj7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]"
12,12,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7'), ('1', 'Em7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('1', 'Em7'), ('2', 'A7'), ('2', 'Ab7#9'), ('2', 'Gmaj7'), ('2', 'Em7'), ('2', 'Am7b5'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'Abdim7'), ('2', 'Ab7b5'), ('4', 'Abm7'), ('4', 'Db7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm7'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Dm7')]"
13,13,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7')]"
14,14,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Gm7'), ('2', 'Dbm7b9'), ('2', 'Dbm13'), ('1', 'Fmaj7'), ('1', 'Bb13'), ('2', 'Em'), ('2', 'Dbm/E'), ('2', 'Em6'), ('2', 'Em7'), ('2', 'EmM7'), ('2', 'Em7'), ('1', 'Bbm7#5'), ('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Gm7'), ('2', 'Dbm7b9'), ('2', 'Dbm13'), ('1', 'Fmaj7'), ('1', 'Bb13'), ('2', 'Em'), ('2', 'Dbm/E'), ('2', 'Em6'), ('2', 'Em7'), ('2', 'EmM7'), ('2', 'Em7'), ('1', 'Bbm7#5'), ('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Gbm11'), ('1', 'Gbm13#11'), ('1', 'Em11'), ('1', 'Bbm13b9'), ('1', 'Dm11'), ('1', 'Abm13b9'), ('2', 'E13'), ('2', 'E7#5'), ('2', 'Bbm9sus'), ('2', 'Bbm7#5'), ('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Em9'), ('1', 'Bbm7b13'), ('1', 'Dm9'), ('1', 'Abm13b9'), ('1', 'Dbm6'), ('1', 'Dbm6')]"
15,15,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('1', 'C7#9'), ('2', 'Fm'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'Bm'), ('2', 'Bbm7'), ('2', 'Eb7'), ('1', 'Am7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('1', 'G7#9')]"
16,16,"[('2', 'Cmaj7'), ('2', 'Gbm13'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Gbm13'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Fm7'), ('2', 'Dbm6'), ('4', 'Gbm7'), ('4', 'B7'), ('2', 'Emaj7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Abm7'), ('2', 'Abdim7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'E6'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Gbm13'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'Abm7')]"
17,17,"[('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'CmM7'), ('2', 'Cm7'), ('2', 'Cm6'), ('1', 'Fm7'), ('2', 'Abm6'), ('2', 'Bb7'), ('2', 'Ebmaj7'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Bb7'), ('1', 'Ebmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Am7'), ('1', 'G7b9'), ('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'CmM7'), ('2', 'Cm7'), ('2', 'Cm6'), ('1', 'Fm7'), ('2', 'Abm6'), ('2', 'Bb7'), ('1', 'Bbm7'), ('2', 'Eb7sus'), ('2', 'Eb7'), ('1', 'Abmaj7'), ('2', 'Abm6'), ('2', 'Dm7'), ('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('4', 'Am7'), ('4', 'G7'), ('1', 'Cm')]"
18,18,"[('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11')]"
19,19,"[('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Ebm7'), ('1', 'Am7'), ('1', 'Dm7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'G/C'), ('2', 'Dm7/G'), ('2', 'Edim/G'), ('2', 'Em7/G')]"
20,20,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'G7sus'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A9'), ('1', 'D9'), ('2', 'Am7'), ('2', 'D7'), ('1', 'Dm7'), ('2', 'G7'), ('2', 'G7#5'), ('1', 'C7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Em7b5'), ('1', 'A7#5'), ('1', 'D9'), ('2', 'Am7'), ('2', 'D9'), ('1', 'Dm7'), ('2', 'G7'), ('2', 'G7#5'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Bb9'), ('4', 'A7'), ('4', 'A7/G'), ('2', 'Gbm7b5'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
21,21,"[('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Gbm6/A'), ('2', 'Fm6'), ('1', 'Dbm/G'), ('1', 'G7'), ('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Gbm6/A'), ('2', 'Fm6'), ('1', 'Dbm/G'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'E7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('1', 'G7'), ('2', 'Cmaj7/E'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'E7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Gbm6'), ('2', 'Dbm/G'), ('2', 'G7')]"
22,22,"[('2', 'Cm'), ('2', 'Cm'), ('2', 'Cm7/Bb'), ('2', 'Am7b5'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('2', 'Cm'), ('2', 'Cm'), ('2', 'Cm7/Bb'), ('2', 'Am7b5'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Bm7'), ('2', 'Fm7'), ('1', 'Amaj7'), ('2', 'Bbm7'), ('2', 'Eb7'), ('2', 'Abmaj7'), ('2', 'G7b13'), ('2', 'Cm'), ('2', 'Cm'), ('2', 'Cm7/Bb'), ('2', 'Am7b5'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Fm7'), ('1', 'Fm7/Eb'), ('1', 'Dm7'), ('1', 'G7b13'), ('1', 'Abmaj7'), ('2', 'Dm7b5'), ('2', 'G7'), ('1', 'Abmaj7'), ('1', 'Ab7#11'), ('1', 'Cm7/G'), ('2', 'Dm7b5'), ('2', 'G7b13'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
