,tune,chords
0,0,"[('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7'), ('2', 'Bbm7'), ('2', 'Em7b9'), ('2', 'Abmaj7'), ('2', 'Dbmaj7'), ('2', 'Gm7'), ('2', 'C7b9')]"
1,0,"[('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7'), ('2', 'Bbm7'), ('2', 'Em7b9'), ('2', 'Abmaj7'), ('2', 'Dbmaj7'), ('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7'), ('2', 'Bbm7'), ('2', 'Em7b9'), ('2', 'Abmaj7'), ('2', 'Dbmaj7'), ('2', 'Gm7'), ('2', 'C7b9')]"
2,0,"[('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7'), ('2', 'Bbm7'), ('2', 'Em7b9'), ('2', 'Abmaj7'), ('2', 'Dbmaj7'), ('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Cm7'), ('2', 'F7'), ('1', 'Bbmaj7'), ('2', 'Cm7'), ('2', 'F7'), ('1', 'Bbmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Gm7'), ('2', 'C7b9')]"
3,0,"[('2', 'Cm7'), ('2', 'F7'), ('1', 'Bbmaj7'), ('2', 'Cm7'), ('2', 'F7'), ('1', 'Bbmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7'), ('2', 'Bbm7'), ('2', 'Em7b9'), ('2', 'Abmaj7'), ('2', 'Dbmaj7'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7')]"
4,0,"[('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7'), ('2', 'Bbm7'), ('2', 'Em7b9'), ('2', 'Abmaj7'), ('2', 'Dbmaj7'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7')]"
5,1,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Cm7'), ('1', 'Em13'), ('1', 'Gm7'), ('1', 'C7#11'), ('1', 'Cm13'), ('1', 'Cm13')]"
6,1,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Cm7'), ('1', 'Em13'), ('1', 'Gm7'), ('1', 'C7#11'), ('1', 'Cm13'), ('1', 'Cm13'), ('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Cm7'), ('1', 'Em13'), ('1', 'Gm7'), ('1', 'C7#11'), ('1', 'Cm13'), ('1', 'Cm13')]"
7,1,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Cm7'), ('1', 'Em13'), ('1', 'Gm7'), ('1', 'C7#11'), ('1', 'Cm13'), ('1', 'Cm13'), ('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7'), ('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7')]"
8,1,"[('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7'), ('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7'), ('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Cm7'), ('1', 'Em13'), ('1', 'Gm7'), ('1', 'C7#11'), ('1', 'Cm13'), ('1', 'Cm13')]"
9,1,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Cm7'), ('1', 'Em13'), ('1', 'Gm7'), ('1', 'C7#11'), ('1', 'Cm13'), ('1', 'Cm13')]"
10,2,"[('2', 'Am'), ('2', 'Gbm7/A'), ('2', 'Am6'), ('2', 'Gbm7/A'), ('2', 'Am'), ('2', 'Gbm7/A'), ('2', 'Am6'), ('2', 'Abm7'), ('2', 'Dbm7'), ('2', 'Gb7#11'), ('2', 'Gbm7'), ('2', 'Abm7b9'), ('1', 'Dbm13'), ('2', 'B7'), ('2', 'E7b9')]"
